Age,Gender,Avg_Daily_Screen_Time_hr,Primary_Device,Exceeded_Recommended_Limit,Educational_to_Recreational_Ratio,Health_Impacts,Urban_or_Rural,Age_Band,Device_Type_Category,Screen_Time_Category,weekday_flag,Usage_Balance_Category,Health_Risk_Level,Educational_Time_hr,Recreational_Time_hr,Educational_Time_Actual,Recreational_Time_Actual
14,Male,3.99,Smartphone,True,0.42,"Poor Sleep, Eye Strain",Urban,Teen,Portable,Moderate,weekday,Mostly Recreational,High Risk,1.1801408450704225,2.809859154929578,1 hr 11 min,2 hr 49 min
11,Female,4.61,Laptop,True,0.3,Poor Sleep,Urban,Pre-Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.0638461538461539,3.5461538461538464,1 hr 4 min,3 hr 33 min
18,Female,3.73,TV,True,0.32,Poor Sleep,Urban,Senior Teen,Other,Moderate,weekday,Mostly Recreational,Moderate Risk,0.9042424242424242,2.8257575757575757,0 hr 54 min,2 hr 50 min
15,Female,1.21,Laptop,False,0.39,No Health Impact,Urban,Teen,Portable,Low,weekday,Mostly Recreational,Moderate Risk,0.3394964028776978,0.8705035971223022,0 hr 20 min,0 hr 52 min
12,Female,5.89,Smartphone,True,0.49,"Poor Sleep, Anxiety",Urban,Pre-Teen,Portable,High,weekend,Mostly Recreational,High Risk,1.936979865771812,3.9530201342281877,1 hr 56 min,3 hr 57 min
14,Female,4.88,Smartphone,True,0.44,Poor Sleep,Urban,Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.491111111111111,3.388888888888889,1 hr 29 min,3 hr 23 min
17,Male,2.97,TV,False,0.48,No Health Impact,Rural,Senior Teen,Other,Moderate,weekday,Mostly Recreational,Moderate Risk,0.9632432432432433,2.006756756756757,0 hr 58 min,2 hr 0 min
10,Male,2.74,TV,True,0.54,No Health Impact,Urban,Pre-Teen,Other,Moderate,weekday,Balanced,Moderate Risk,0.960779220779221,1.7792207792207793,0 hr 58 min,1 hr 47 min
14,Male,4.61,Laptop,True,0.36,"Poor Sleep, Anxiety",Rural,Teen,Portable,High,weekend,Mostly Recreational,High Risk,1.220294117647059,3.389705882352941,1 hr 13 min,3 hr 23 min
18,Male,3.24,Tablet,True,0.48,"Poor Sleep, Obesity Risk",Urban,Senior Teen,Portable,Moderate,weekday,Mostly Recreational,High Risk,1.050810810810811,2.1891891891891895,1 hr 3 min,2 hr 11 min
18,Male,3.53,Tablet,True,0.44,Poor Sleep,Rural,Senior Teen,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,1.0786111111111112,2.4513888888888884,1 hr 5 min,2 hr 27 min
15,Female,4.94,TV,True,0.36,Poor Sleep,Rural,Teen,Other,High,weekend,Mostly Recreational,Moderate Risk,1.3076470588235296,3.632352941176471,1 hr 18 min,3 hr 38 min
12,Male,4.59,Smartphone,True,0.43,Poor Sleep,Urban,Pre-Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.3802097902097903,3.2097902097902096,1 hr 23 min,3 hr 13 min
11,Male,6.08,TV,True,0.48,Eye Strain,Rural,Pre-Teen,Other,Very High,weekend,Mostly Recreational,Moderate Risk,1.971891891891892,4.108108108108108,1 hr 58 min,4 hr 6 min
